format,name,flavor_text,background_color,top_image_path,bottom_image_path,decklist_link,printed
1999 Base-Fossil,Arcanine Electrode,,#f79b11,Deck Archive Cropped Card Images\arcanine_base_set.png,Deck Archive Cropped Card Images\electrode_base_set.png,my.limitlesstcg.com/shared/69f9ffb0a2d4f984ff636807,TRUE
1999 Base-Fossil,Venusaur,,#5bb397,Deck Archive Cropped Card Images\venusaur_base_set.png,Deck Archive Cropped Card Images\kangaskhan_jungle.png,my.limitlesstcg.com/shared/69fa0089a2d4f984ff636813,TRUE
2006 Worlds,Metanite,"Rayeels predecessor, Dragonite can accelerate energy to your Pokemon, while Metagross can discard them to do big damage! Metagross also helps with its great consistency engine.",#a54bac,Deck Archive Cropped Card Images\metagross_delta_species.png,Deck Archive Cropped Card Images\dragonite_delta_species.png,my.limitlesstcg.com/shared/673d6445d6cc04a0353483a4,TRUE
2009 Worlds,Kingdra,,#46a7e1,Deck Archive Cropped Card Images\kingdra_legends_awakened.png,Deck Archive Cropped Card Images\claydol_great_encounters.png,my.limitlesstcg.com/shared/69d59ad2842c87489be32bad,TRUE
2009 Worlds,LuxApe,,#dddd14,Deck Archive Cropped Card Images\infernape_E4_lvX.png,Deck Archive Cropped Card Images\Luxray_GL_lvX.png,my.limitlesstcg.com/shared/699e0a048f7c649013485319,TRUE
2009 Worlds,Luxdrill,,#feee00,Deck Archive Cropped Card Images\beedrill_secret_wonders.png,Deck Archive Cropped Card Images\Luxray_GL_lvX.png,my.limitlesstcg.com/shared/699e08ce8f7c649013485308,TRUE
2009 Worlds,SP Box,,#28487e,Deck Archive Cropped Card Images\honchkrow_G_platinum.png,Deck Archive Cropped Card Images\toxicroak_G_platinum.png,my.limitlesstcg.com/shared/699e092e8f7c64901348530c,TRUE
2014 Worlds,Empoleon Raichu,,#0b406b,Deck Archive Cropped Card Images\empoleon_dark_explorers.png,Deck Archive Cropped Card Images\raichu_xy.png,my.limitlesstcg.com/shared/69c887324075f86fab5dec84,TRUE
2014 Worlds,Fairy Box,,#ea7baa,Deck Archive Cropped Card Images\M_kangasken_EX.png,Deck Archive Cropped Card Images\aromatisse_xy.png,my.limitlesstcg.com/shared/699e403b8f7c649013485519,TRUE
2014 Worlds,Flygon Accelgor,,#e5e760,Deck Archive Cropped Card Images\flygon_boundaries_crossed.png,Deck Archive Cropped Card Images\accelgor_dark_exlorers.png,my.limitlesstcg.com/shared/69c88fb94075f86fab5decea,TRUE
2014 Worlds,Plasma Prism Box,,#ea7baa,Deck Archive Cropped Card Images\deoxys_EX_plasma.png,Deck Archive Cropped Card Images\aromatisse_xy.png,my.limitlesstcg.com/shared/699e41568f7c64901348552b,TRUE
2014 Worlds,Tool Drop,,#666b5a,Deck Archive Cropped Card Images\trubbish_plasma_storm.png,Deck Archive Cropped Card Images\sigilyph_plasma_blast.png,my.limitlesstcg.com/shared/69c879aa4075f86fab5debe0,TRUE
2014 Worlds,Tricroar,,#f0e7a9,Deck Archive Cropped Card Images\pyroar_flashfire.png,Deck Archive Cropped Card Images\manectric_dragons_exalted.png,my.limitlesstcg.com/shared/69c883ae4075f86fab5dec5b,TRUE
2014 Worlds,VirGen,,#9dbe2c,Deck Archive Cropped Card Images\genesect_EX_plasma_blast.png,Deck Archive Cropped Card Images\virizion_EX_plasma_blast.png,my.limitlesstcg.com/shared/699e40298f7c649013485517,TRUE
2014 Worlds,Yveltal Garbodor,,#7d1f33,Deck Archive Cropped Card Images\yveltal_EX_xy.png,Deck Archive Cropped Card Images\garbodor_dragons_exalted.png,my.limitlesstcg.com/shared/699e404e8f7c64901348551b,TRUE
